Month,DepartmentType,LocationName,Area,NumberOfAttendancesEpisode,NumberMeetingTargetEpisode,AttendanceGreater8hrs,AttendanceGreater12hrs,UnaccountedAttendanceWait,DischargeDestinationAdmissionToSame,DischargeDestinationOtherSpecialty,DischargeDestinationResidence,DischargeDestinationTransfer,DischargeDestinationUnknown,Year,NumberMeetingTargetEpisodePercentage,AttendanceGreater8hrsPercentage,AttendanceGreater12hrsPercentage,UnaccountedAttendanceWaitPercentage,DischargeDestinationAdmissionToSamePercentage,DischargeDestinationOtherSpecialtyPercentage,DischargeDestinationResidencePercentage,DischargeDestinationTransferPercentage,DischargeDestinationUnknownPercentage
08-2007,Emergency Department,Royal Aberdeen Children's Hospital,NHS Grampian,1412.0,1402.0,0.0,0.0,10.0,343.0,0.0,1069.0,0.0,0.0,2007,99.29,0.0,0.0,0.71,24.29,0.0,75.71,0.0,0.0
08-2007,Emergency Department,Dr Gray's Hospital,NHS Grampian,1905.0,1791.0,6.0,0.0,108.0,560.0,2.0,1273.0,27.0,43.0,2007,94.02,0.31,0.0,5.67,29.4,0.1,66.82,1.42,2.26
08-2007,Minor Injury Unit or Other,Kincardine Community Hospital,NHS Grampian,150.0,150.0,0.0,0.0,0.0,0.0,1.0,122.0,27.0,0.0,2007,100.0,0.0,0.0,0.0,0.0,0.67,81.33,18.0,0.0
08-2007,Minor Injury Unit or Other,Vale of Leven General Hospital,NHS Greater Glasgow and Clyde,1407.0,1388.0,0.0,0.0,19.0,352.0,1.0,956.0,84.0,14.0,2007,98.65,0.0,0.0,1.35,25.02,0.07,67.95,5.97,1.0
08-2007,Emergency Department,Inverclyde Royal Hospital,NHS Greater Glasgow and Clyde,2791.0,2732.0,0.0,0.0,59.0,577.0,1.0,2039.0,25.0,149.0,2007,97.89,0.0,0.0,2.11,20.67,0.04,73.06,0.9,5.34
08-2007,Emergency Department,Royal Alexandra Hospital,NHS Greater Glasgow and Clyde,5691.0,5548.0,2.0,0.0,141.0,1577.0,6.0,3742.0,64.0,302.0,2007,97.49,0.04,0.0,2.48,27.71,0.11,65.75,1.12,5.31
08-2007,Emergency Department,Glasgow Royal Infirmary,NHS Greater Glasgow and Clyde,6248.0,5881.0,9.0,2.0,356.0,1898.0,18.0,3883.0,113.0,336.0,2007,94.13,0.14,0.03,5.7,30.38,0.29,62.15,1.81,5.38
08-2007,Emergency Department,Stobhill Hospital,NHS Greater Glasgow and Clyde,3627.0,3348.0,23.0,4.0,252.0,1062.0,1.0,2380.0,41.0,143.0,2007,92.31,0.63,0.11,6.95,29.28,0.03,65.62,1.13,3.94
08-2007,Emergency Department,New Victoria Hospital,NHS Greater Glasgow and Clyde,5964.0,5844.0,2.0,0.0,118.0,1572.0,13.0,4225.0,105.0,49.0,2007,97.99,0.03,0.0,1.98,26.36,0.22,70.84,1.76,0.82
08-2007,Emergency Department,Queen Elizabeth University Hospital,NHS Greater Glasgow and Clyde,4162.0,3813.0,7.0,0.0,342.0,1146.0,12.0,2743.0,36.0,225.0,2007,91.61,0.17,0.0,8.22,27.53,0.29,65.91,0.86,5.41
08-2007,Emergency Department,Royal Hospital for Children,NHS Greater Glasgow and Clyde,3007.0,2962.0,2.0,1.0,42.0,529.0,0.0,2467.0,3.0,8.0,2007,98.5,0.07,0.03,1.4,17.59,0.0,82.04,0.1,0.27
08-2007,Emergency Department,West Glasgow,NHS Greater Glasgow and Clyde,5177.0,4733.0,26.0,3.0,415.0,1643.0,9.0,3112.0,113.0,300.0,2007,91.42,0.5,0.06,8.02,31.74,0.17,60.11,2.18,5.79
08-2007,Emergency Department,Raigmore Hospital,NHS Highland,2805.0,2717.0,3.0,0.0,85.0,578.0,4.0,2167.0,1.0,55.0,2007,96.86,0.11,0.0,3.03,20.61,0.14,77.25,0.04,1.96
08-2007,Emergency Department,University Hospital Monklands,NHS Lanarkshire,5692.0,5498.0,6.0,0.0,188.0,1668.0,3.0,3969.0,25.0,27.0,2007,96.59,0.11,0.0,3.3,29.3,0.05,69.73,0.44,0.47
08-2007,Emergency Department,University Hospital Hairmyres,NHS Lanarkshire,4833.0,4717.0,20.0,6.0,90.0,1059.0,10.0,3717.0,15.0,32.0,2007,97.6,0.41,0.12,1.86,21.91,0.21,76.91,0.31,0.66
08-2007,Emergency Department,University Hospital Wishaw,NHS Lanarkshire,5614.0,5531.0,2.0,0.0,81.0,1298.0,5.0,4267.0,23.0,21.0,2007,98.52,0.04,0.0,1.44,23.12,0.09,76.01,0.41,0.37
08-2007,Minor Injury Unit or Other,Western General Hospital,NHS Lothian,2972.0,2784.0,8.0,0.0,180.0,907.0,2.0,2060.0,3.0,0.0,2007,93.67,0.27,0.0,6.06,30.52,0.07,69.31,0.1,0.0
08-2007,Emergency Department,St John's Hospital,NHS Lothian,4036.0,3912.0,1.0,0.0,123.0,763.0,4.0,2912.0,123.0,234.0,2007,96.93,0.02,0.0,3.05,18.9,0.1,72.15,3.05,5.8
08-2007,Emergency Department,Royal Infirmary of Edinburgh at Little France,NHS Lothian,9473.0,8620.0,56.0,1.0,796.0,2759.0,18.0,6526.0,170.0,0.0,2007,91.0,0.59,0.01,8.4,29.12,0.19,68.89,1.79,0.0
08-2007,Emergency Department,Royal Hospital for Children and Young People,NHS Lothian,2875.0,2847.0,0.0,0.0,28.0,461.0,0.0,2410.0,4.0,0.0,2007,99.03,0.0,0.0,0.97,16.03,0.0,83.83,0.14,0.0
08-2007,Emergency Department,Gilbert Bain Hospital,NHS Shetland,745.0,727.0,1.0,1.0,16.0,140.0,0.0,568.0,5.0,32.0,2007,97.58,0.13,0.13,2.15,18.79,0.0,76.24,0.67,4.3
08-2007,Emergency Department,Ninewells Hospital,NHS Tayside,4072.0,4040.0,1.0,0.0,31.0,938.0,11.0,3090.0,33.0,0.0,2007,99.21,0.02,0.0,0.76,23.04,0.27,75.88,0.81,0.0
08-2007,Emergency Department,Perth Royal Infirmary,NHS Tayside,2300.0,2281.0,0.0,0.0,19.0,387.0,0.0,1769.0,45.0,99.0,2007,99.17,0.0,0.0,0.83,16.83,0.0,76.91,1.96,4.3
08-2007,Minor Injury Unit or Other,Blairgowrie & Rattray Cottage Hospital,NHS Tayside,147.0,145.0,0.0,0.0,2.0,7.0,0.0,140.0,0.0,0.0,2007,98.64,0.0,0.0,1.36,4.76,0.0,95.24,0.0,0.0
08-2007,Minor Injury Unit or Other,Arbroath Infirmary,NHS Tayside,700.0,699.0,0.0,0.0,1.0,43.0,0.0,657.0,0.0,0.0,2007,99.86,0.0,0.0,0.14,6.14,0.0,93.86,0.0,0.0
08-2007,Minor Injury Unit or Other,Brechin Infirmary,NHS Tayside,146.0,146.0,0.0,0.0,0.0,4.0,0.0,140.0,2.0,0.0,2007,100.0,0.0,0.0,0.0,2.74,0.0,95.89,1.37,0.0
08-2007,Minor Injury Unit or Other,Whitehills Health and Community Care Centre,NHS Tayside,422.0,422.0,0.0,0.0,0.0,14.0,0.0,407.0,1.0,0.0,2007,100.0,0.0,0.0,0.0,3.32,0.0,96.45,0.24,0.0
08-2007,Emergency Department,Western Isles Hospital,NHS Western Isles,767.0,742.0,0.0,0.0,25.0,180.0,0.0,584.0,1.0,2.0,2007,96.74,0.0,0.0,3.26,23.47,0.0,76.14,0.13,0.26
09-2007,Emergency Department,University Hospital Crosshouse,NHS Ayrshire and Arran,5499.0,5426.0,0.0,0.0,73.0,2028.0,9.0,3321.0,37.0,104.0,2007,98.67,0.0,0.0,1.33,36.88,0.16,60.39,0.67,1.89
09-2007,Emergency Department,University Hospital Ayr,NHS Ayrshire and Arran,3270.0,3157.0,0.0,0.0,113.0,1177.0,0.0,1937.0,83.0,73.0,2007,96.54,0.0,0.0,3.46,35.99,0.0,59.24,2.54,2.23
09-2007,Emergency Department,Borders General Hospital,NHS Borders,2028.0,2016.0,0.0,0.0,12.0,596.0,0.0,1208.0,13.0,211.0,2007,99.41,0.0,0.0,0.59,29.39,0.0,59.57,0.64,10.4
09-2007,Emergency Department,Dumfries & Galloway Royal Infirmary,NHS Dumfries and Galloway,2909.0,2835.0,0.0,0.0,74.0,982.0,5.0,1872.0,8.0,42.0,2007,97.46,0.0,0.0,2.54,33.76,0.17,64.35,0.28,1.44
09-2007,Emergency Department,Victoria Hospital,NHS Fife,3837.0,3646.0,12.0,1.0,178.0,612.0,104.0,2958.0,41.0,122.0,2007,95.02,0.31,0.03,4.64,15.95,2.71,77.09,1.07,3.18
09-2007,Emergency Department,Queen Margaret Hospital,NHS Fife,3393.0,3289.0,3.0,1.0,100.0,753.0,137.0,2422.0,21.0,60.0,2007,96.93,0.09,0.03,2.95,22.19,4.04,71.38,0.62,1.77
09-2007,Minor Injury Unit or Other,Falkirk Community Hospital,NHS Forth Valley,1813.0,1808.0,0.0,0.0,5.0,0.0,0.0,1283.0,225.0,305.0,2007,99.72,0.0,0.0,0.28,0.0,0.0,70.77,12.41,16.82
09-2007,Emergency Department,Stirling Community Hospital,NHS Forth Valley,4301.0,4012.0,10.0,0.0,279.0,1125.0,7.0,2544.0,37.0,588.0,2007,93.28,0.23,0.0,6.49,26.16,0.16,59.15,0.86,13.67
09-2007,Emergency Department,Aberdeen Royal Infirmary,NHS Grampian,5246.0,5038.0,16.0,4.0,188.0,1199.0,21.0,3918.0,74.0,34.0,2007,96.04,0.3,0.08,3.58,22.86,0.4,74.69,1.41,0.65
09-2007,Emergency Department,Royal Aberdeen Children's Hospital,NHS Grampian,1486.0,1480.0,0.0,0.0,6.0,375.0,0.0,1107.0,4.0,0.0,2007,99.6,0.0,0.0,0.4,25.24,0.0,74.5,0.27,0.0
09-2007,Emergency Department,Dr Gray's Hospital,NHS Grampian,1963.0,1838.0,6.0,1.0,118.0,482.0,8.0,1412.0,19.0,42.0,2007,93.63,0.31,0.05,6.01,24.55,0.41,71.93,0.97,2.14
09-2007,Minor Injury Unit or Other,Kincardine Community Hospital,NHS Grampian,139.0,139.0,0.0,0.0,0.0,0.0,0.0,121.0,18.0,0.0,2007,100.0,0.0,0.0,0.0,0.0,0.0,87.05,12.95,0.0
09-2007,Minor Injury Unit or Other,Vale of Leven General Hospital,NHS Greater Glasgow and Clyde,1224.0,1218.0,0.0,0.0,6.0,321.0,1.0,789.0,99.0,14.0,2007,99.51,0.0,0.0,0.49,26.23,0.08,64.46,8.09,1.14
09-2007,Emergency Department,Inverclyde Royal Hospital,NHS Greater Glasgow and Clyde,2616.0,2581.0,0.0,0.0,35.0,547.0,5.0,1883.0,24.0,157.0,2007,98.66,0.0,0.0,1.34,20.91,0.19,71.98,0.92,6.0
09-2007,Emergency Department,Royal Alexandra Hospital,NHS Greater Glasgow and Clyde,5690.0,5481.0,7.0,0.0,202.0,1616.0,14.0,3679.0,69.0,312.0,2007,96.33,0.12,0.0,3.55,28.4,0.25,64.66,1.21,5.48
09-2007,Emergency Department,Glasgow Royal Infirmary,NHS Greater Glasgow and Clyde,6032.0,5631.0,18.0,4.0,379.0,1765.0,14.0,3812.0,135.0,306.0,2007,93.35,0.3,0.07,6.28,29.26,0.23,63.2,2.24,5.07
09-2007,Emergency Department,Stobhill Hospital,NHS Greater Glasgow and Clyde,3410.0,3262.0,3.0,0.0,145.0,951.0,0.0,2289.0,40.0,130.0,2007,95.66,0.09,0.0,4.25,27.89,0.0,67.13,1.17,3.81
09-2007,Emergency Department,New Victoria Hospital,NHS Greater Glasgow and Clyde,5838.0,5712.0,1.0,0.0,125.0,1535.0,19.0,4067.0,136.0,81.0,2007,97.84,0.02,0.0,2.14,26.29,0.33,69.66,2.33,1.39
09-2007,Emergency Department,Queen Elizabeth University Hospital,NHS Greater Glasgow and Clyde,4043.0,3854.0,3.0,0.0,186.0,1172.0,6.0,2745.0,26.0,94.0,2007,95.33,0.07,0.0,4.6,28.99,0.15,67.9,0.64,2.33
09-2007,Emergency Department,Royal Hospital for Children,NHS Greater Glasgow and Clyde,3168.0,3123.0,1.0,1.0,43.0,519.0,0.0,2641.0,1.0,7.0,2007,98.58,0.03,0.03,1.36,16.38,0.0,83.36,0.03,0.22
09-2007,Emergency Department,West Glasgow,NHS Greater Glasgow and Clyde,4848.0,4524.0,15.0,3.0,306.0,1509.0,8.0,2917.0,140.0,274.0,2007,93.32,0.31,0.06,6.31,31.13,0.17,60.17,2.89,5.65
09-2007,Emergency Department,Raigmore Hospital,NHS Highland,2611.0,2556.0,1.0,0.0,54.0,576.0,21.0,2013.0,1.0,0.0,2007,97.89,0.04,0.0,2.07,22.06,0.8,77.1,0.04,0.0
09-2007,Emergency Department,University Hospital Monklands,NHS Lanarkshire,5495.0,5384.0,4.0,0.0,107.0,1515.0,2.0,3954.0,12.0,12.0,2007,97.98,0.07,0.0,1.95,27.57,0.04,71.96,0.22,0.22
09-2007,Emergency Department,University Hospital Hairmyres,NHS Lanarkshire,4752.0,4530.0,50.0,27.0,145.0,984.0,7.0,3710.0,17.0,34.0,2007,95.33,1.05,0.57,3.05,20.71,0.15,78.07,0.36,0.72
09-2007,Emergency Department,University Hospital Wishaw,NHS Lanarkshire,5511.0,5420.0,5.0,0.0,86.0,1303.0,7.0,4162.0,20.0,19.0,2007,98.35,0.09,0.0,1.56,23.64,0.13,75.52,0.36,0.34
09-2007,Minor Injury Unit or Other,Western General Hospital,NHS Lothian,3001.0,2785.0,11.0,1.0,204.0,874.0,2.0,2125.0,0.0,0.0,2007,92.8,0.37,0.03,6.8,29.12,0.07,70.81,0.0,0.0
09-2007,Emergency Department,St John's Hospital,NHS Lothian,3999.0,3937.0,2.0,0.0,60.0,719.0,7.0,2943.0,106.0,224.0,2007,98.45,0.05,0.0,1.5,17.98,0.18,73.59,2.65,5.6
09-2007,Emergency Department,Royal Infirmary of Edinburgh at Little France,NHS Lothian,8887.0,8229.0,27.0,1.0,630.0,2786.0,21.0,5882.0,198.0,0.0,2007,92.6,0.3,0.01,7.09,31.35,0.24,66.19,2.23,0.0
09-2007,Emergency Department,Royal Hospital for Children and Young People,NHS Lothian,2902.0,2880.0,0.0,0.0,22.0,435.0,1.0,2466.0,0.0,0.0,2007,99.24,0.0,0.0,0.76,14.99,0.03,84.98,0.0,0.0
09-2007,Emergency Department,Gilbert Bain Hospital,NHS Shetland,713.0,691.0,3.0,2.0,17.0,138.0,2.0,537.0,3.0,33.0,2007,96.91,0.42,0.28,2.38,19.35,0.28,75.32,0.42,4.63
09-2007,Emergency Department,Ninewells Hospital,NHS Tayside,4113.0,4086.0,0.0,0.0,27.0,943.0,13.0,3053.0,22.0,82.0,2007,99.34,0.0,0.0,0.66,22.93,0.32,74.23,0.53,1.99
09-2007,Emergency Department,Perth Royal Infirmary,NHS Tayside,2142.0,2118.0,1.0,0.0,23.0,369.0,6.0,1552.0,55.0,160.0,2007,98.88,0.05,0.0,1.07,17.23,0.28,72.46,2.57,7.47
09-2007,Minor Injury Unit or Other,Blairgowrie & Rattray Cottage Hospital,NHS Tayside,170.0,170.0,0.0,0.0,0.0,4.0,0.0,166.0,0.0,0.0,2007,100.0,0.0,0.0,0.0,2.35,0.0,97.65,0.0,0.0
09-2007,Minor Injury Unit or Other,Arbroath Infirmary,NHS Tayside,783.0,782.0,0.0,0.0,1.0,10.0,0.0,730.0,43.0,0.0,2007,99.87,0.0,0.0,0.13,1.28,0.0,93.23,5.49,0.0
09-2007,Minor Injury Unit or Other,Brechin Infirmary,NHS Tayside,164.0,164.0,0.0,0.0,0.0,3.0,0.0,161.0,0.0,0.0,2007,100.0,0.0,0.0,0.0,1.83,0.0,98.17,0.0,0.0
09-2007,Minor Injury Unit or Other,Whitehills Health and Community Care Centre,NHS Tayside,434.0,432.0,0.0,0.0,2.0,10.0,0.0,423.0,1.0,0.0,2007,99.54,0.0,0.0,0.46,2.3,0.0,97.47,0.23,0.0
09-2007,Emergency Department,Western Isles Hospital,NHS Western Isles,689.0,664.0,0.0,0.0,25.0,172.0,0.0,493.0,1.0,23.0,2007,96.37,0.0,0.0,3.63,24.96,0.0,71.55,0.15,3.34
10-2007,Emergency Department,University Hospital Crosshouse,NHS Ayrshire and Arran,5481.0,5374.0,3.0,1.0,103.0,2038.0,13.0,3292.0,44.0,94.0,2007,98.05,0.05,0.02,1.88,37.18,0.24,60.06,0.8,1.72
